Word,IPA,PartOfSpeech,Meaning,Level
abandon, [əbǽndən], 動詞, 〜を捨てる・あきらめる, 4
abstract, [æbstrǽkt], 形容詞/名詞, 抽象的な（要約）, 4
acquire, [əkwáiər], 動詞, 〜を習得する・手に入れる, 4
adequate, [ǽdikwət], 形容詞, 十分な・適切な, 4
adjust, [ədʒʌ́st], 動詞, 〜を調整する・適合させる, 4
alter, [ɔ́ːltər], 動詞, 〜を変える, 4
ambition, [æmbíʃən], 名詞, 野心・抱負, 4
analyze, [ǽnəlàiz], 動詞, 〜を分析する, 4
anxiety, [æŋzáiəti], 名詞, 不安・心配, 4
appointment, [əpɔ́intmənt], 名詞, 予約・約束, 4
artificial, [ὰːrtəfíʃəl], 形容詞, 人工の, 4
assignment, [əsáinmənt], 名詞, 課題・割り当て, 4
attach, [ətǽtʃ], 動詞, 〜を添える・貼り付ける, 4
attempt, [ətémpt], 動詞/名詞, 〜を試みる（試み）, 4
barrier, [bǽriər], 名詞, 障壁・壁, 4
boundary, [báundəri], 名詞, 境界（線）, 4
brief, [bríːf], 形容詞, 短い・簡潔な, 4
burden, [bə́ːrdn], 名詞/動詞, 負担・重荷（〜に負担をかける）, 4
campaign, [kæmpéin], 名詞, 運動・キャンペーン, 4
candidate, [kǽndidèit], 名詞, 候補者, 4
casual, [kǽʒuəl], 形容詞, 何気ない・形式ばらない, 4
client, [kláiənt], 名詞, 依頼人・顧客, 4
clue, [klúː], 名詞, 手がかり, 4
collapse, [kəlǽps], 動詞/名詞, 崩壊する（崩壊）, 4
commercial, [kəmə́ːrʃəl], 形容詞/名詞, 商業的な（広告）, 4
commitment, [kəmítmənt], 名詞, 献身・約束・責任, 4
committee, [kəmíti], 名詞, 委員会, 4
companion, [kəmpǽnjən], 名詞, 仲間・付き添い, 4
compete, [kəmpíːt], 動詞, 競争する, 4
compliment, [kάmpləmənt], 名詞/動詞, 褒め言葉（〜を褒める）, 4
comprise, [kəmpráiz], 動詞, 〜から成る・〜を含む, 4
concentrate, [kάnsəntrèit], 動詞, 集中する, 4
concept, [kάnsept], 名詞, 概念, 4
conclude, [kənklúːd], 動詞, 〜と結論づける, 4
confidence, [kάnfidəns], 名詞, 自信・信頼, 4
confuse, [kənfjúːz], 動詞, 〜を混乱させる, 4
congress, [kάŋgris], 名詞, 会議・（米国の）議会, 4
conscience, [kάnʃəns], 名詞, 良心, 4
conscious, [kάnʃəs], 形容詞, 意識している, 4
conservation, [kὰnsərvéiʃən], 名詞, 保存・保護, 4
conservative, [kənsə́ːrvətiv], 形容詞, 保守的な, 4
considerable, [kənsídərəbl], 形容詞, かなりの・相当な, 4
consume, [kənsúːm], 動詞, 〜を消費する, 4
contemporary, [kəntémpərèri], 形容詞, 現代の・同時代の, 4
contrast,[kάntræst],名詞,対照,4
contrast,[kəntrǽst],動詞,〜を対照させる,4
convince, [kənvíns], 動詞, 〜に納得させる・確信させる, 4
