Word,PartOfSpeech,Meaning,Level
ability,名詞,能力,5
accept,動詞,〜を受け入れる,5
access,名詞/動詞,利用権・接近（〜にアクセスする）,5
account,名詞/動詞,説明・口座（〜を説明する）,5
accurate,形容詞,正確な,5
achieve,動詞,〜を達成する,5
activity,名詞,活動,5
additional,形容詞,追加の,5
admire,動詞,〜に感嘆する・〜を賞賛する,5
admit,動詞,〜を認める,5
adopt,動詞,〜を採用する・（養子を）引き取る,5
advantage,名詞,利点・優位,5
advise,動詞,〜に助言する,5
affect,動詞,〜に影響を与える,5
afford,動詞,〜する余裕がある,5
agree,動詞,同意する・賛成する,5
allow,動詞,〜を許可する・（〜するのを）可能にする,5
amount,名詞/動詞,量・総計（〜に達する）,5
announce,動詞,〜を発表する,5
apparent,形容詞,明白な・一見〜らしい,5
appear,動詞,〜のように見える・現れる,5
appreciate,動詞,〜を正当に評価する・〜に感謝する,5
appropriate,形容詞,適切な,5
approve,動詞,〜に賛成する・〜を承認する,5
area,名詞,地域・領域,5
argue,動詞,〜と主張する・議論する,5
article,名詞,記事・品物,5
aspect,名詞,側面・外観,5
assume,動詞,〜と仮定する・（責任などを）引き受ける,5
attend,動詞,〜に出席する・（注意を）払う,5
attitude,名詞,態度・考え方,5
attract,動詞,〜を引きつける,5
audience,名詞,聴衆・観客,5
authority,名詞,権威・当局,5
available,形容詞,利用可能な・入手可能な,5
average,名詞/形容詞,平均（の）,5
base,動詞/名詞,〜の基礎を置く（土台）,5
basis,名詞,基礎・根拠,5
behavior,名詞,行動・振る舞い,5
believe,動詞,〜を信じる・〜と思う,5
belong,動詞,属する,5
benefit,名詞/動詞,利益・恩恵（〜に利益を与える）,5
bore,動詞,〜を退屈させる,5
borrow,動詞,〜を借りる,5
capacity,名詞,能力・収容力,5
capital,名詞/形容詞,首都・資本（主要な）,5
care,動詞/名詞,気にかける（世話・注意）,5
celebrate,動詞,〜を祝う,5
challenge,名詞/動詞,課題・挑戦（〜に異議を唱える）,5
character,名詞,性格・登場人物・文字,5
choose,動詞,〜を選ぶ,5
circumstance,名詞,状況・事情,5
claim,動詞/名詞,〜を主張する（主張・権利）,5
claim,名詞/動詞,主張（〜を主張する）,5
comfort,名詞/動詞,快適さ（〜を慰める）,5
common,形容詞,共通の・一般的な,5
communicate,動詞,意思を通じ合わせる・〜を伝える,5
communication,名詞,意思疎通・通信,5
community,名詞,地域社会・共同体,5
compare,動詞,〜を比較する,5
competition,名詞,競争・競技会,5
complain,動詞,不平を言う,5
complete,動詞/形容詞,〜を完成させる（完全な）,5
complex,形容詞/名詞,複雑な・複合体,5
concern,動詞/名詞,〜に関係する・〜を心配させる（関心事）,5
condition,名詞,状態・条件,5
confirm,動詞,〜を確認する,5
conflict,名詞/動詞,葛藤・衝突（衝突する）,5
connect,動詞,〜をつなぐ,5
consequence,名詞,結果・影響,5
consider,動詞,〜をじっくり考える・検討する,5
constant,形容詞,絶え間ない・一定の,5
contact,名詞/動詞,接触・連絡（〜と連絡を取る）,5
contain,動詞,〜を含む・収容する,5
context,名詞,文脈・状況,5
contract,名詞/動詞,契約（〜を契約する・収縮する）,5
contribution,名詞,貢献・寄付,5
create,動詞,〜を創造する,5
creature,名詞,生き物,5
critical,形容詞,批判的な・重大な,5
culture,名詞,文化,5
current,形容詞/名詞,現在の・流れ,5
damage,名詞/動詞,損害（〜に損害を与える）,5
data,名詞,資料・データ,5
degree,名詞,程度・学位・度,5
